Longitude;Latitude;Club name
-0,13435;51,51395; Ophim
-0,13435;51,51395; Village
-0,12993;51,51373; Lab
-0,13439;51,5121; Abigail's Party: www.abigailsparty.com
-0,20174;51,58248; Voodoo Lounge
-0,13632;51,51352; Amber
-0,1866;51,41597; Utah
;42,75315; Oscar
-0,12774;51,51189; Saint
-0,15643;51,51609; Home House
-0,10203;51,51961; Fluid
-0,18907;51,51825; Cherry Jam
-0,14547;51,51267; Hush
-0,13253;51,51568; Edge
-0,08426;51,51556; Vertigo
-0,16546;51,49572; Room
-0,13014;51,51544; Velvet Rooms
-0,13141;51,51341; Little Italy
-0,09353;51,47553; Red Star
-0,13543;51,51159; Titanic
-0,10356;51,52256; Dust
-0,10356;51,52256; Match Ec1
-0,08283;51,51752; G.E. Club
-0,16826;51,49371; Eclipse
-0,18237;51,48516; Ponana Fez
-0,12972;51,51588; First Out
-0,13313;51,46358; Pentagon
-0,2035;51,51751; Manor
-0,09849;51,53904; Embassy
-0,13951;51,51277; Red
-0,07181;51,52137; Vibe Bar
-0,13222;51,51695; Hakkasan
;43,00373; Stork Rooms
-0,21196;51,52478; Chilled Eskimo
-0,38514;51,47259; Oblivion
-0,13695;51,46229; So.Uk
-0,16639;51,45932; Fiction
-0,14227;51,51248; Noble Rot
-0,16111;51,50166; Mandarin Bar
-0,1612;51,50167; Iso-Bar
-0,08111;51,52543; Cantaloupe
-0,20634;51,51759; Market Bar
-0,21526;51,5309; Paradise By Way Ofkensal Green
-0,10285;51,54317; 25 Canonbury Lane
-0,13379;51,51315; Sweet Suite
-0,09048;51,47392; Funky Munky
-0,16776;51,49353; Latitude
-0,11134;51,51462; 115 at Hodgsons
-0,13038;51,5133; Soho House
-0,15539;51,43803; Point
-0,07448;51,51908; Public Life
-0,13406;51,51762; Jerusalem
-0,16741;51,46081; South Circular
-0,16798;51,46073; Base
-0,22557;51,50262; Bush Bar & Grill
-0,16721;51,42749; The Cafe' Bar
-0,08159;51,52733; Hoxton Bar And Kitchen
-0,12066;51,51214; Orso
-0,12242;51,533; Lincoln Lounge
-0,10035;51,52342; 19 20
-0,16944;51,42666; Spirit
-0,32422;51,58144; Thirteen Club
-0,23527;51,48605; Jacs Bar
-0,08017;51,52716; Mother
-0,18889;51,50238; Roof Garden
-0,18715;51,4795; Ink Bar
-0,16628;51,459; Holy Drinkers
-0,12698;51,51514; Freud
-0,1396;51,51104; Momo (Kemia Bar)
-0,10709;51,46322; Dogstar
-0,10442;51,52712; Cicada
-0,13629;51,51128; Circus
-0,08365;51,51625; One of Two
-0,14226;51,54028; Wkd
-0,10362;51,54313; Primos Lounge
-0,20044;51,48277; Diamonds & Pearls
-0,09952;51,61069; Centuria
-0,13587;51,51784; Nordic
-0,14422;51,50607; 10 Tokyo Joes
-0,13891;51,51306; Zebrano
-0,12613;51,51386; Detroit
-0,13152;51,51358; 6 Degrees
-0,12593;51,50915; Kudos
