Longitude,Latitude,Hotel Name
"-0,14821","51,50417", GB-Athenaeum
"-0,15813","51,51828", GB-Gloucester Place Hotel
"-0,20593","51,49335", GB-Aston Court
"-0,18191","51,51137", GB-Gresham Hyde Park
"-0,18226","51,49325", GB-Harrington Hall
"-0,12295","51,51748", GB-Bloomsbury
"-0,15021","51,49346", GB-James House
"-0,38092","51,87712", GB-Express By Holiday Inn-London Luton
"-0,13136","51,51123", GB-Manzis
"-0,46648","51,89287", GB-Regent Lodge Hotel
"-0,17434","51,51562", GB-Border Hotel
"-0,17247","51,51558", GB-Nayland Hotel
"-0,19264","51,49883", GB-Kensington Close Hotel
"-0,17527","51,49358", GB-Brompton Hotel
"-0,34966","51,65735", GB-Jarvis International
"-0,59227","51,40918", GB-The Wheatsheaf
"-0,12288","51,5291", GB-Macdonald
"-0,2701","51,03", GB-Cisswood House
"-0,212","51,91746", GB-Abbington Hotel
"-0,20968","51,55192", GB-Mountrose Hotel
"-0,45101","51,48398", GB-Travelodge-London Heathrow
"-0,1616","51,49976", GB-L'hotel
"-0,28053","51,56253", GB-Premier Travel Inn
"-0,46831","51,74792", GB-Hemel Hempstead
"-0,40664","51,51793", GB-Premier Travel Inn
"-0,47968","51,48306", GB-Heathrow Hotel
"-0,18375","51,51355", GB-Leisure Inn
"-0,12415","51,5232", GB-Russell House Hotel
"-0,04081","51,82871", GB-Hanbury Manor Hotel & Country Club
"-0,34765","51,6571", GB-Watford
"-0,3595","51,81911", GB-Hanover International Hotel
"0,01609","51,50741", GB-London Excel
"-0,20901","51,46806", GB-London Putney Bridge
"-0,1157","51,5847", GB-White Lodge Hotel
"-0,14092","51,49416", GB-Park Plaza
"-0,12135","51,52038", GB-Bloomsbury Park
"-0,1877","51,51352", GB-Jubilee Court Hotel
"-0,05712","51,53653", GB-Konuralp
"-0,15613","51,51245", GB-London Park Lane
"-0,0952","51,50007", GB-London City Hotel
"-0,16872","51,52904", GB-London Regents Park Hilton
"-0,13849","51,49056", GB-Victor
"-0,15633","51,51571", GB-Portman Hotel
"-0,19209","51,51288", GB-Bayswater Inn
"-0,41402","51,07408", GB-Random Hall
"-0,29735","51,41039", GB-London Kingston
"-0,2503","51,65638", GB-Elstree
"-0,13475","51,4939", GB-Rochester
"-0,01571","51,57341", GB-Sleeping Beauty Motel
