-0.01479, 51.34291, Crescent Resource Centre, GB-United Kingdom, +44 1689 842939
-3.78982, 56.12137, Clackmannan County Hospital, GB-United Kingdom, +44 1259 723840
-0.10544, 51.66793, Kings Oak Hospital The, GB-United Kingdom, +44 20 8370 9500
-4.53941, 55.61392, Crosshouse Hospital, GB-United Kingdom, +44 1563 521133
-2.45841, 51.69239, Berkeley Vale Rehab Unit, GB-United Kingdom, +44 1453 562010
-4.06602, 55.81209, Kirklands Hospital, GB-United Kingdom, +44 1698 245000
-3.09576, 58.44131, Caithness General Hospital, GB-United Kingdom, +44 1955 605050
-3.06616, 51.01996, Taunton Dialysis Centre, GB-United Kingdom, +44 1823 444485
-1.68027, 54.65527, General Hospital Bishop Auckland, GB-United Kingdom, +44 1388-45400
-5.54297, 50.12205, West Cornwall Hospital, GB-United Kingdom, +44 1736 874000
-4.16563, 55.86067, Lightburn Hospital, GB-United Kingdom, +44 141 211 1500
-2.70697, 53.79157, Royal Preston Hospital Fulwood, GB-United Kingdom, +44 1772-71656
-0.07407, 53.55147, St Hughs Hospital, GB-United Kingdom, +44 1472 251100
-1.47784, 52.91938, Derby Chest Clinic The, GB-United Kingdom, +44 1332 340366
-3.82909, 53.31240, Llandudno General Hospital Ffordd Yr Orsedd Llandudno, GB-United Kingdom, +44 1492-86006
-4.22020, 55.89344, Greater Glasgow Primary Care NHS Trust, GB-United Kingdom, +44 141 531 3100
-0.20445, 51.55035, West Hampstead Day Hospital, GB-United Kingdom, +44 20 8208 1612
0.89620, 51.91832, North Essex Partnership NHS Trust, GB-United Kingdom, +44 1206 228600
-0.19641, 51.34948, Henderson Hospital, GB-United Kingdom, +44 20 8661 1611
-0.13136, 51.52104, University College Hospital NHS Trust, GB-United Kingdom, +44 20 7387 9300
-1.54898, 53.80377, Nuffield Hospital Leeds, GB-United Kingdom, +44 113 388 2222
-2.00971, 53.10277, Leek Moorlands Hospital, GB-United Kingdom, +44 1538 487100
0.05864, 51.36866, Green Parks House - Psychiatric Unit, GB-United Kingdom, +44 1689 880000
-2.73938, 52.22219, Leominster Community Hospital, GB-United Kingdom, +44 1568 614211
-2.51129, 57.05416, Glen ODee Hospital, GB-United Kingdom, +44 1330 822233
-3.98765, 57.97297, Lawson Memorial Hospital, GB-United Kingdom, +44 1408 633293
-1.81205, 52.56735, Good Hope Hospital NHS Trust, GB-United Kingdom, +44 121 378 2211
-0.14271, 51.52321, Royal London Homoeopathic Hospital, GB-United Kingdom, +44 20 7391 8833
-3.46819, 50.59965, Devon Partnership NHS Trust, GB-United Kingdom, +44 1626 888372
-3.54880, 54.63736, Workington Infirmary, GB-United Kingdom, +44 1900 602244
-0.72222, 52.39412, St Marys Hospital, GB-United Kingdom, +44 1536 410141
0.04461, 51.59105, London Independent Hospitals, GB-United Kingdom, +44 20 8551 5339
-1.20184, 50.85316, Blackbrook House, GB-United Kingdom, +44 1329 232275
-4.78502, 50.34647, Dental Helpline, GB-United Kingdom, +44 1726 77777
